Model_name,MSE
SNGP_6_128,2237.760425940403
SNGP_6_64,2290.518593431154
SNGP_6_32,2298.1126885940093
SNGP_6_16,2166.792721847686
SNGP_4_128,2298.8699150008983
SNGP_4_64,2158.196750048032
SNGP_4_32,2134.2648387345766
SNGP_4_16,2056.265646258039
SNGP_2_128,2276.8121580749234
SNGP_2_64,2255.6253851206357
SNGP_2_32,2190.854631538167
SNGP_2_16,2159.4200465836225
SNGP_1_128,2276.0899401146057
SNGP_1_64,2269.4683231518416
SNGP_1_32,2163.3326233259786
SNGP_1_16,2272.698241841043
